Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
22182233496,TUBYCATU | Mẫu Tết 2025 Basil white top áo tay dài đan dây chất liệu ren hoa nổi màu trắng,₫456.000,33,tubycatu,"2,4%",₫9.120,https://shopee.vn/product/144453555/22182233496,https://s.shopee.vn/6V7XT4JMKf
10975911894,"Áo thun tết ất tỵ 2025, áo thun gia đình tết 2025 năm con rắn, vải dày mịn mát, in cao cấp- đủ size bé - lớn,100 mẫu tết",₫69.000,32,Áo thun unisex giá xưởng 2025,"9,4%",₫6.210,https://shopee.vn/product/373861408/10975911894,https://s.shopee.vn/60BGs9LGLa
20272156704,[ ÁO TẾT 2025 ] Áo Thun Nam Cotton Cổ Tròn PHIÊN BẢN IN NỔI NORMAN NHÀ KEN PREMIUM,₫90.210,"1,6k",Áo Thun Kuken,"22,4%",₫19.846,https://shopee.vn/product/85157270/20272156704,https://s.shopee.vn/6AUh4SKd0d
19192793629,TUBYCATU | Mẫu Tết 2025 Áo sơ mi len kem lỗ 4 nút,₫590.000,189,tubycatu,"2,4%",₫11.800,https://shopee.vn/product/144453555/19192793629,https://s.shopee.vn/5fYQTXMX1Y
21374525351,"Áo thun Tết 2025 Unisex Nam Nữ 💖Áo Thun Gia Đình Xuân, Chất  cotton mát mịn in Hình siêu dễ thương  - SSSHOP 10",₫89.000,25,SSSHOP - TIEM IN AO THUN,"2,4%",₫1.780,https://shopee.vn/product/377542671/21374525351,https://s.shopee.vn/5prqfqLtgb
21356474111,"Áo thun tết ất tỵ 2025, áo thun gia đình tết 2025 năm con rắn, vải dày mịn mát, in cao cấp- đủ size bé - lớn,100 mẫu tết",₫69.000,46,Áo thun unisex giá xưởng 2025,"9,4%",₫6.210,https://shopee.vn/product/373861408/21356474111,https://s.shopee.vn/5Kva4vNnhW
23215837823,Áo thun Tết 2025 BEAR - T123 - HoCha89 Vải Dày Mịn Co Giản 4c May Dây Cổ Móc Xích Cao Cấp (Có Hình Thật),₫125.000,1,fbhocha89,"12,4%",₫15.000,https://shopee.vn/product/156434316/23215837823,https://s.shopee.vn/5VF0HENAMZ
23627622154,"Áo thun Tết 2025 Unisex Nam Nữ 💖Áo Thun Gia Đình Xuân, Chất  cotton mát mịn in Hình siêu dễ thương  - SSSHOP 05",₫89.000,16,SSSHOP - TIEM IN AO THUN,"2,4%",₫1.780,https://shopee.vn/product/377542671/23627622154,https://s.shopee.vn/7fJUrDEuy0
22809071249,"🌻😽Tết 2025 - Áo thun in ""Chúc mừng năm mới”🌻😽",₫42.750,0,Áo Cặp Đôi 193,"2,4%",₫855,https://shopee.vn/product/274955218/22809071249,https://s.shopee.vn/7pcv3WEHd3
22168467163,Áo thun phông raglan bigsize 100kg local brand TẾT 2025 form rộng cotton basic MY DNA by May Minh Thành VÂN TAY,₫156.870,0,MY DNA by May Minh Thành,"4,4%",₫6.275,https://shopee.vn/product/252412058/22168467163,https://s.shopee.vn/7KgeSbGBdy
20702927404,"Áo thun tết ất tỵ 2025, áo thun gia đình tết 2025 năm con rắn, vải dày mịn mát, in cao cấp- đủ size bé - lớn,100 mẫu tết",₫69.000,52,Áo thun unisex giá xưởng 2025,"9,4%",₫6.210,https://shopee.vn/product/373861408/20702927404,https://s.shopee.vn/7V04euFYJ1
22014965617,Áo thun Happy Tết 2025 -T1222  - HoCha89 Vải Dày Mịn Co Giản 4c May Dây Cổ Móc Xích Cao Cấp ( Có Hình Thật),₫125.000,0,fbhocha89,"12,4%",₫15.000,https://shopee.vn/product/156434316/22014965617,https://s.shopee.vn/703o3zHSJw
