Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
25338195301,[Voucher Xtra] Mẫu tết 2025 Áo thun form ngắn tay ngắn cổ tròn phối viền màu in chữ Garment Tee - Sibling House,₫300.000,22,SiblingHouse,"9,4%",₫27.000,https://shopee.vn/product/239922427/25338195301,https://s.shopee.vn/3Ar5V286kU
27714647388,[Hỏa tốc HCM] Mẫu tết 2025 Áo thun nữ form ôm tay dài cổ sen nút trái tim Recia Top - Sibling House,₫255.000,35,SiblingHouse,"9,4%",₫22.950,https://shopee.vn/product/239922427/27714647388,https://s.shopee.vn/30XfIj8k5T
26469387583,Áo Thun Tết 2025 Ất Tỵ Tuổi Nào Chẳng Thích Lì Xì Năm Con Rắn | LẠ STORE,₫49.000,16,ÁO THUN LẠ STORE,"12,4%",₫5.880,https://shopee.vn/product/81875988/26469387583,https://s.shopee.vn/3VTvte6q4a
26067329569,ÁO THUN TẾT 2025 - XUÂN NHƯ Ý,₫55.000,21,ANUBIS STORE,"2,4%",₫1.100,https://shopee.vn/product/24214434/26067329569,https://s.shopee.vn/3LAVhL7TPZ
27419675975,Áo Yếm Tết 2025 (Tặng kèm quần lụa cao cấp) vải gấm mềm cao cấp hoa nổi,₫675.000,15,MOLLYNISTA OFFICIAL,"12,4%",₫81.000,https://shopee.vn/product/98573506/27419675975,https://s.shopee.vn/3q6mIG5ZOg
25558064470,Áo Thun ĐỎ TẾT 2025 XUÂN ẤT TỴ CON RẮN Unisex Nam Nữ Áo Gia Đình Cặp Đôi Shop lucas - RỒNG NGỚ NGẨN,₫119.000,203,Shop.Lucas,"2,4%",₫2.380,https://shopee.vn/product/500984823/25558064470,https://s.shopee.vn/3fnM5x6Cjf
18585749215,TUBYCATU | Mẫu Tết 2025 Áo sơ mi len nâu/ kem lỗ (áo có nút gài),₫540.000,264,tubycatu,"2,4%",₫10.800,https://shopee.vn/product/144453555/18585749215,https://s.shopee.vn/6pkNrlu9JI
27557834143,"Sét Gu Chi Áo len Lông Thỏ, Áo Len Mix Chân Váy Umi Siêu Sang Chảnh mặc đi chơi Noel, chơi Tết 2025 EP43",₫199.000,"10,1k",jeansquangchau.store,"2,4%",₫3.980,https://shopee.vn/product/533049093/27557834143,https://s.shopee.vn/6fQxfSumeH
26767188106,ÁO THUN TẾT 2025 - NĂM ẤT TỴ TIỀN VÔ BẠC TỶ,₫55.000,24,ANUBIS STORE,"2,4%",₫1.100,https://shopee.vn/product/24214434/26767188106,https://s.shopee.vn/7ANEGNssdO
27916214559,[Hỏa tốc HCM ] Tết 2025 Áo thun nữ tay dài điểm nhấn chéo vai in hình Kingbear Top - Sibling House,₫360.000,19,SiblingHouse,"9,4%",₫32.400,https://shopee.vn/product/239922427/27916214559,https://s.shopee.vn/703o44tVyN
27657982589,TUBYCATU | Mẫu Tết 2025 Áo dệt kim stripe white/ navy top,₫434.000,56,tubycatu,"2,4%",₫8.680,https://shopee.vn/product/144453555/27657982589,https://s.shopee.vn/7V04ezrbxU
26617393682,Áo thun tết 2025 - Áo phông gia đình là số 1 chất thun mềm mịn thoáng mát co dãn tốt,₫59.000,17,H & V Store,"12,4%",₫7.080,https://shopee.vn/product/57031084/26617393682,https://s.shopee.vn/7KgeSgsFIT
23962689499,Áo Thun Tết 2025 Ất Tỵ Xuân Yêu Thương Tết Đong Đầy Năm Con Rắn | LẠ STORE,₫49.000,65,ÁO THUN LẠ STORE,"12,4%",₫5.880,https://shopee.vn/product/81875988/23962689499,https://s.shopee.vn/7pcv3bqLHa
22462624104,Áo Thun Tết 2025 Ất Tỵ Mang Lì Xì Về Cho Mẹ Năm Con Rắn | LẠ STORE,₫49.000,540,ÁO THUN LẠ STORE,"12,4%",₫5.880,https://shopee.vn/product/81875988/22462624104,https://s.shopee.vn/7fJUrIqycZ
