Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
18984215507,Nước hoa chiết nữ Thomas Kosmala Paris No.4 EDP 10ml hương thơm ngọt ngào gợi cảm lưu hương tốt,₫350.000,228,SuGo Perfume,"2,4%",₫7.000,https://shopee.vn/product/41686400/18984215507,https://s.shopee.vn/5Ac9tKoact
20575586555,"B8 Nước Hoa Nữ Xịt Thơm Body Mist 75ml Nội Địa Trung Vinecya’s Siêu Thơm, Hương Nhẹ Nhàng, Tươi Mát, Cuốn Hút Kiêu Sa",₫9.000,"26,7k",Trang Seoul,"4,4%",₫360,https://shopee.vn/product/963428199/20575586555,https://s.shopee.vn/40QCVBt1zg
22154963312,Nước hoa nữ chiết chính hãng Carolina Herrera Good Girl mẫu thử chiết 10ml - Golden Perfume,₫63.250,48,nuochoachinhhang_no1,"11,4%",₫6.958,https://shopee.vn/product/541694677/22154963312,https://s.shopee.vn/4AjchUsOej
21877420874,"Nước Hoa Nữ Verites Her Summer Nữ tính, Dịu dàng, Cuốn hút 50ml",₫369.000,"7,3k",Verites,"17,4%",₫62.730,https://shopee.vn/product/795897302/21877420874,https://s.shopee.vn/4L32tnrlJm
23880455387,Nước hoa nữ Mancera Roses Vanille EDP ngọt ngào quyến rũ tinh tế chiết 10ml chính hãng - Golden Perfume,₫63.250,22,nuochoachinhhang_no1,"11,4%",₫6.958,https://shopee.vn/product/541694677/23880455387,https://s.shopee.vn/4VMT66r7yp
19190684914,Nước hoa nữ thơm lâu Grace And Love Tinh dầu thơm nước hoa nam nữ thơm lâu hương ngọt body mist set nước hoa unisex,₫35.000,"8,5k",Grace&love_official,"4,4%",₫1.400,https://shopee.vn/product/174160076/19190684914,https://s.shopee.vn/g9kX45il6
23050325008,"Bộ Sưu Tập Nước Hoa Nữ Scenti Hương Thơm Ngọt Ngào, Quyến Rũ, Gợi Cảm, Chai Xịt 10ml",₫17.000,"87,7k",Scenti Official,"7,4%",₫1.190,https://shopee.vn/product/1045640696/23050325008,https://s.shopee.vn/qTAjN55Q9
16094620023,nước hoa nữ C﻿haanel Coco  chai chiết 10ml tinh dầu nước hoa nữ chính hãng nhẹ nhàng quý phái đẳng cấp,₫110.000,"24,4k",Omise.store,"2,4%",₫2.200,https://shopee.vn/product/504950022/16094620023,https://s.shopee.vn/10mavg4S5C
20488650649,nước hoa nam nữ Le Labo Another 13 chiết 10ml tinh dầu nước hoa cao cấp mùi hương vô cùng ảo diệu,₫110.000,"42,3k",Omise.store,"2,4%",₫2.200,https://shopee.vn/product/504950022/20488650649,https://s.shopee.vn/1B617z3okF
15496902525,"Nước Hoa Nữ  Le Labo 13 , 31 , 33 Another dung tích 100ml Hương thơm quyến rũ lưu hương lâu - bimiu.store.official",₫485.000,176,mỹ phẩm BIMIU HCM,"2,4%",₫9.700,https://shopee.vn/product/436716403/15496902525,https://s.shopee.vn/u3jq8G72
9947124566,"Nước hoa Nữ KARRI Perfume Collection 30ML Màu hồng chân dài cô gái, thơm lâu, dầu thơm, nước hoa lưu hương NH02",₫29.000,"79,1k",LYLYGA COSMETIC,"4,4%",₫1.160,https://shopee.vn/product/351922288/9947124566,https://s.shopee.vn/BDTw97cm5
22454962753,Nước Hoa Nữ chính hãng chiết 10ml - Jeanpaul Gaultier So Scandal - Golden Perfume,₫55.000,50,nuochoachinhhang_no1,"11,4%",₫6.050,https://shopee.vn/product/541694677/22454962753,https://s.shopee.vn/LWu8S6zR8
22634581575,"[BST Best Seller] Nước Hoa Nữ Amour Nguyên Liệu Nhập Pháp Hương Thơm Ngọt Ngào, Cuốn Hút, Dạng Xịt 10ml và 2ml",₫25.000,"23,3k",a:mour official,"2,4%",₫500,https://shopee.vn/product/721299705/22634581575,https://s.shopee.vn/VqKKl6M6B
20393166349,Nước Hoa Nữ chính hãng chiết 10ml - Gu.cci Black Femme EDT sang trọng cuốn hút - Golden Perfume,₫60.500,45,nuochoachinhhang_no1,"11,4%",₫6.655,https://shopee.vn/product/541694677/20393166349,https://s.shopee.vn/20f87W0e3U
23654501434,Nước hoa Dubai LUXURY nam nữ 50ml,₫115.000,"2,2k",Men90.Store,"4,4%",₫4.600,https://shopee.vn/product/746369407/23654501434,https://s.shopee.vn/2AyYJp00iX
23279970456,Nước hoa chiết nữ Omniaa mẫu thử 10ml,₫128.000,607,NƯỚC HOA CHIẾT QH,"17,4%",₫21.760,https://shopee.vn/product/827688956/23279970456,https://s.shopee.vn/2LHyW7zNNa
