Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
17192836900,Nước hoa nữ Narciso rodriguez for her Hồng Nhạt EDP 10ml hương hoa cỏ gỗ thơm tinh dầu nước hoa nữ hương thơm miên man,₫103.400,"44,1k",Hoshi_authentic,"2,4%",₫2.068,https://shopee.vn/product/435785805/17192836900,https://s.shopee.vn/qTAjKSqZH
28212316148,Nước Hoa Nữ Club De Nuit Nữ Tính Thanh Lịch Ấm Áp Cosmetic Xịt Thơm Perfume Women Tinh Dầu,₫192.000,0,Moon Shop Perfume,"2,4%",₫3.840,https://shopee.vn/product/103681848/28212316148,https://s.shopee.vn/LWu8PUkaC
19373656086,nước Hoa Nữ Rắn Trắng Kilian Good Girl Gone Bad  mùi hương quyền lực sang trọng chiết 10ml,₫89.300,"25,1k",Marigold Authentic,"2,4%",₫1.786,https://shopee.vn/product/338817081/19373656086,https://s.shopee.vn/VqKKiU7FF
22121398724,"Nước hoa nữ Chanel Coco Mademoiselle Intense edp hương thơm ngọt ngào ,nữ tính  chiết 10ml- Daisy Store1102",₫99.000,"32,3k",Daisy Hương Thơm Của Riêng Bạn,"2,4%",₫1.980,https://shopee.vn/product/477032054/22121398724,https://s.shopee.vn/u3jnW1GA
25002865178,BỘ QUÀ TẶNG COUPLE 4: 2 Chai Nước Hoa Nam Nữ Sweet Girl + Kool Boy Dạng Xịt EDP 10ml BzPerfume,₫222.000,0,BzMAN Official Store,"12,4%",₫26.640,https://shopee.vn/product/29524848/25002865178,https://s.shopee.vn/BDTw6VNvD
11683733497,[[HOT2022] Nước Hoa Nữ Gucci Bloom Đỏ 100ml - mùi thơm sang chảnh,₫288.000,2k,Hà Ly Ly Cosmetics,"4,4%",₫11.520,https://shopee.vn/product/560728351/11683733497,https://s.shopee.vn/AKKG2msgIC
23380596913,[𝐀𝐮𝐭𝐡] Nước Hoa Nữ chính hãng Nar Trắng Narciso Rodriguez For Her Pure Musc 10/100ML gợi cảm tinh thế ngọt ngào - Duy,₫145.000,"7,2k",Duy Perfume AUTH,"13,4%",₫18.850,https://shopee.vn/product/399889686/23380596913,https://s.shopee.vn/AUdgF5s2xF
27962212926,Nước Hoa Nữ Scandai Chân Dài Gợi cảm Khiêu khích Sành điệu Cosmetic Perfume Women Xịt Thơm,₫448.000,0,Moon Shop Perfume,"2,4%",₫8.960,https://shopee.vn/product/103681848/27962212926,https://s.shopee.vn/9zhPeAtwyA
24652862910,BỘ QUÀ TẶNG COUPLE 1: 2 Chai Nước Hoa Nam Nữ Bad Girl + Kool Boy Dạng Xịt EDP 10ml BzPerfume,₫220.000,0,BzMAN Official Store,"12,4%",₫26.400,https://shopee.vn/product/29524848/24652862910,https://s.shopee.vn/AA0pqTtJdD
18693299175,"[𝐀𝐮𝐭𝐡] Nước hoa nam nữ Armaf Club De Nuit Intense For Man 105ml - Hương thơm ấm áp, hiện đại và nam tính - Duy Perfume",₫165.000,"1,5k",Duy Perfume AUTH,"13,4%",₫21.450,https://shopee.vn/product/399889686/18693299175,https://s.shopee.vn/9f4ZFYvDe8
