Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
4559961350,Mũ lông tai gấu kèm khăn quàng cổ bao tay 3 trong 1 ấm áp,₫39.000,"52,2k",dungchi1306,"7,4%",₫2.730,https://shopee.vn/product/8458890/4559961350,https://s.shopee.vn/1VirVVuPnr
28412720434,Áo giữ nhiệt nữ cổ cao 3p ôm body dài tay nhiều màu PQ chất bozip cao cấp PQ05,₫64.310,"5,8k",PQ Store83,"22,4%",₫14.148,https://shopee.vn/product/1129388521/28412720434,https://s.shopee.vn/10mauawJom
12447308191,"Combo 2 Túi Nước giặt OMO Matic Cửa trước 4,1kg/túi",₫439.000,"132,8k",Unilever - Chăm sóc Gia đình,"6,4%",₫26.340,https://shopee.vn/product/26947756/12447308191,https://s.shopee.vn/1B616tvgTp
20686203719,"3 Hộp 3 Màu Mặt Nạ Giấy COLORKEY LUMINOUS Vitamin B5 Giúp Cấp Ẩm, Hỗ Trợ Làm Sáng Da 10 miếng",₫329.000,"58,4k",COLORKEY.OFFICIAL.VN,"8,4%",₫26.320,https://shopee.vn/product/1103552734/20686203719,https://s.shopee.vn/g9kVyxaUk
23086897214,[ 10 Túi 100 Chiếc ] Khẩu Trang 5D 3 Lớp Chống Nắng Chống Bụi Chống Tia Uv,₫1.000,"356,4k",NPP Nga,"4,4%",₫40,https://shopee.vn/product/1096087885/23086897214,https://s.shopee.vn/qTAiHwx9n
28762921785,Calem Club - Áo nỉ bông Sweater XXV MAIN CHARACTER họa tiết chữ thêu form boxy unisex nam nữ Áo thu đông dài tay,₫140.100,"2,4k",CALEM.CLUB,"10,4%",₫14.010,https://shopee.vn/product/10909571/28762921785,https://s.shopee.vn/LWu7MyrAi
24401011243,[HC Gift] Túi viên giặt tiện lợi OMO 3 trong 1 (4 viên/túi) (mẫu ngẫu nhiên),₫200.000,"257,3k",Unilever - Chăm sóc Gia đình,"2,4%",₫4.000,https://shopee.vn/product/26947756/24401011243,https://s.shopee.vn/VqKJfyDpl
15462059521,Bộ gội xả dưỡng tóc suôn mượt cao cấp L'Oreal Paris Extraordinary Oil Smooth 440ml x2,₫409.000,"69,9k",L'Oreal Paris Official Store,"12,4%",₫49.080,https://shopee.vn/product/37251933/15462059521,https://s.shopee.vn/u3il07qg
24477856795,Combo 3 Áo Giữ Nhiệt Nam HML Lót Lông Dày Ấm Trắng Đen Xám,₫64.000,"11,9k",HML UNISEX,"2,4%",₫1.280,https://shopee.vn/product/890471759/24477856795,https://s.shopee.vn/BDTv3zUVj
2438919130,Táo Đỏ Tân Cương Loại 1 ( 1Kg 2 túi 500gr),₫25.000,"109,9k",Bhfood shop,"4,4%",₫1.000,https://shopee.vn/product/19202634/2438919130,https://s.shopee.vn/50Ijfwh5hg
25102037639,"Sét 5 Đôi Tất Cổ Cao, Vớ Vải Cotton Trơn Mềm , 3 Màu Cổ Bo Chun Siêu Co Giãn tt45",₫4.800,"45,8k",Bikini House,"4,4%",₫192,https://shopee.vn/product/125581229/25102037639,https://s.shopee.vn/5Ac9sFgSMj
24901026558,Quần Ống Rộng Chất Nỉ Tăm Ép Mịn.Quần Nỉ Dáng Suông Cạp Chun Có Dây Điều Chỉnh,₫69.000,"31,7k",T2K Max,"6,4%",₫4.140,https://shopee.vn/product/415393827/24901026558,https://s.shopee.vn/4fftHKiMNe
27463175352,"Combo 3,4 áo giữ nhiệt nam lót nỉ dài tay cổ 3 phân, áo thun nam dài tay lót nỉ co dãn giữ nhiệt",₫48.000,"2,4k",TỔNG KHO SỈ PHÚC AN,"10,4%",₫4.800,https://shopee.vn/product/1257832535/27463175352,https://s.shopee.vn/4pzJTdhj2h
16056479818,"Dầu dừa Vietcoco ép lạnh nguyên chất Hữu Cơ nấu ăn, dưỡng tóc, dưỡng mày, dưỡng môi ,vòi nhấn, massage",₫50.000,"7,2k",cheapnho,"4,4%",₫2.000,https://shopee.vn/product/22199117/16056479818,https://s.shopee.vn/4L32sijd3c
20639363510,"Tất nam nữ cổ cao cổ trung cổ thấp thể thao thời trang cao cấp màu trắng, màu đen TAT23",₫6.900,"190,1k",NAJIREN,"4,4%",₫276,https://shopee.vn/product/167710204/20639363510,https://s.shopee.vn/4VMT51izif
27013577451,[COLLECTION TẾT]  AB HOUSE - Quần nỉ ống rộng Sweat pants form rộng nam nữ Tết Ấm Project AB x OUTE,₫199.000,"7,5k",ab_house,"12,4%",₫23.880,https://shopee.vn/product/81184070/27013577451,https://s.shopee.vn/40QCU6ktja
25476476431,Thùng 10 gói khăn ướt Lamy 100 tờ không cồn không parabens cao cấp dành cho em bé,₫159.500,"28,9k",ECOBI OFFICIAL STORE,"17,4%",₫27.115,https://shopee.vn/product/988216132/25476476431,https://s.shopee.vn/4AjcgPkGOd
29750519351,Set 10 Khăn Rửa Chén Dây Kim Loại Đa Năng Chà Bồn Rửa Bát - Cọ Rửa Xoong Nồi Không Mài Mòn,₫6.720,"40,6k",Gia Dụng Thông Minh NewHome,"13,4%",₫874,https://shopee.vn/product/1223851930/29750519351,https://s.shopee.vn/3fnM5UmAPY
23729887539,Gel tẩy tế bào chết Rosette Peeling Gel 120g chính hãng Nhật Bản,₫60.000,"18,8k",Eco-Official,"14,4%",₫8.400,https://shopee.vn/product/597157193/23729887539,https://s.shopee.vn/3q6mHnlX4b
24815153427,Quần Ống Rộng Vải Nỉ Lì Mịn Mặc 2 Kiểu Ông Rộng Suông Nam Nữ Hàng Đẹp Mã 705,₫75.000,"27,2k",Xưởng May  Minh Phú,"7,4%",₫5.250,https://shopee.vn/product/865263756/24815153427,https://s.shopee.vn/3LAVgsnR5W
24204793110,"Hạt mix dinh dưỡng tẩm vị Gan Yuan, đậu mix hạt & trái cây sấy khô Kam Yuens (gói ~30g)",₫2.900,"2,4tr",Shop ăn vặt Mẹ Gold,"4,4%",₫116,https://shopee.vn/product/91680258/24204793110,https://s.shopee.vn/3VTvtBmnkZ
