Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
4558611128,"Khăn mặt khô Chillwipes dùng 1 lần lau khô, lau ướt - Giấy lau mặt dùng một lần",₫36.500,"2,3tr",Chillwipes,"2,4%",₫730,https://shopee.vn/product/305173609/4558611128,https://s.shopee.vn/5fYQT5pNAo
22514539268,Quần Tất Tàng Hình Che Khuyết Điểm Thon Gọn Chân Cao Cấp BT10 BEBECHIC,₫59.000,"85,1k",BEBE CHIC,"10,4%",₫5.900,https://shopee.vn/product/714557060/22514539268,https://s.shopee.vn/5prqfOojpr
20716773870,COMBO Bánh tráng phơi sương TIGER FOOD Bánh Tráng + Muối Tôm Hành Phi + Bơ béo + Tóp Mỡ + Sốt tắc FREESHIP Đồ ăn vặt,₫73.000,"419,4k",Ăn Vặt Tiger Food,"5,4%",₫3.650,https://shopee.vn/product/707424749/20716773870,https://s.shopee.vn/60BGrho6Uu
24721084066,[HỎA TỐC] GẠO ST25 THƠM DẺO MỀM SÓC TRĂNG 5 Kg LÚA TRUYỀN THỐNG MỚI (Bọc 2 lớp),₫104.900,"21,3k",SHOP GẠO NGON,"6,4%",₫6.294,https://shopee.vn/product/878947588/24721084066,https://s.shopee.vn/6AUh40nT9x
27651068751,[Shopee Live] Thùng 500c khẩu trang 5D Bông Sen Vàng.,₫195.000,"13,4k",Bông Sen Vàng Official,"5,4%",₫9.750,https://shopee.vn/product/796123153/27651068751,https://s.shopee.vn/6Ko7GJmpp0
28863514290,"Áo dài cách tân hoa nổi nhiều màu, Yến phượng kèm quần lụa, lông vũ hoa tua rua",₫191.000,"3,9k",Label_Store,"12,4%",₫22.920,https://shopee.vn/product/1225595923/28863514290,https://s.shopee.vn/6V7XScmCU3
7881305878,"❌Hàng Có Sẵn❌ Dép Đi Trong Nhà , Nhà Tắm , Văn Phòng Dáng Lỗ Siêu Bền, Siêu Nhẹ Chống Trơn Trượt 1899 Lamon Store",₫6.400,"218,9k",LAMON_Official,"10,4%",₫640,https://shopee.vn/product/391575467/7881305878,https://s.shopee.vn/6fQxevlZ96
23316149774,"Thùng Sữa Bột Pha Sẵn Nutifood GrowPLUS+ Đỏ (Suy Dinh Dưỡng) - Trên 1 Tuổi - Tăng Cân, Tăng Chiều Cao (48 Hộp x 180ml)",₫653.000,"11,2k",Nutifood GrowPLUS Official ,"2,4%",₫13.060,https://shopee.vn/product/915815268/23316149774,https://s.shopee.vn/6pkNrEkvo9
22064555547,HÀNG TẶNG KHÔNG BÁN - Trial size - Nước sen Hậu Giang (toner) Cocoon giúp phục hồi đa nhiệm cho da rất nhạy cảm 50ml,₫75.000,"31,9k",Cocoon Vietnam Chính Hãng,"12,4%",₫9.000,https://shopee.vn/product/175753395/22064555547,https://s.shopee.vn/703o3XkITC
6591440025,"Trắng răng Smilee  Extra, trắng răng từ 3-6 tone sau một liệu trình. Hàng chính hãng",₫880.000,43k,Smilee Official Store,"12,4%",₫105.600,https://shopee.vn/product/19445085/6591440025,https://s.shopee.vn/7ANEFqjf8F
