Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
11955727337,"Nước tẩy trang hoa cúc LUCENBASE làm sạch, cấp ẩm, dịu da 500ml",₫142.000,"35,6k",Lucenbase Official Store,"4,4%",₫5.680,https://shopee.vn/product/523613281/11955727337,https://s.shopee.vn/9A8IeV4g0X
7654726548,Bộ 2 nước tẩy trang đa năng 3in1 làm sạch sâu L'Oreal Paris 400ml x 2,₫419.000,"154,9k",L'Oreal Paris Official Store,"12,4%",₫50.280,https://shopee.vn/product/37251933/7654726548,https://s.shopee.vn/8fC23a6a1S
12357846307,"Nước Tẩy Trang Làm Sạch Sâu, Dưỡng Ẩm Cho Mọi Loại Da L'oreal 3-in-1 Micellar Water 400ml",₫169.000,"62,7k",Thế Giới Skin Food (Hà Nội),"2,4%",₫3.380,https://shopee.vn/product/601250725/12357846307,https://s.shopee.vn/8pVSFt5wgV
10163846934,Nước Tẩy Trang Byphasse Solution Micellaire (500ml),₫99.000,"33,6k",nuty.vn,"7,4%",₫6.930,https://shopee.vn/product/151657812/10163846934,https://s.shopee.vn/8KZBey7qhQ
4304227818,Nước Tẩy Trang Loreal Micellar Water 3-In-1 95ml/400ml,₫174.000,"34,8k",Lam Thảo Cosmetics,"2,4%",₫3.480,https://shopee.vn/product/181790483/4304227818,https://s.shopee.vn/8UsbrH7DMT
3808686606,Nước Tẩy Trang Dành Cho Da Nhạy Cảm Bioderma Sensibio H20 500ml,₫394.000,"33,7k",Watsons Vietnam Official Store,"2,4%",₫7.880,https://shopee.vn/product/193849872/3808686606,https://s.shopee.vn/7zwLGM97NO
14185378989,Nước Tẩy Trang Simple Micellar Cleansing Water 200ml / 400ml - Dịu Nhẹ Cho Da Nhạy Cảm- Dr Thêm,₫66.000,"51,9k",Dr Thêm Cosmetics,"2,4%",₫1.320,https://shopee.vn/product/18363975/14185378989,https://s.shopee.vn/8AFlSf8U2R
22735783796,Nước tẩy trang mắt và môi Maybelline New York Eye & Lip Makeup Remover 150ml,₫168.000,"48,7k",Maybelline Official Store,"10,4%",₫16.800,https://shopee.vn/product/37252407/22735783796,https://s.shopee.vn/2LHyVwUgsK
14430706794,COCOLUX_Nước Tẩy Trang Garnier 400ml,₫65.000,"29,2k",Cocolux.com,"7,4%",₫4.550,https://shopee.vn/product/518715302/14430706794,https://s.shopee.vn/2VbOiFU3XN
14313733473,"Nước Tẩy Trang làm Sạch Sâu, Ngừa Mụn, Sáng Da Garnier Micellar Cleansing Water 400ml",₫19.000,"67,9k",Thế Giới Skin Food (Hà Nội),"2,4%",₫380,https://shopee.vn/product/601250725/14313733473,https://s.shopee.vn/20f87KVxYI
21979888742,Bộ 2 nước tẩy trang cấp ẩm căng mịn da Hyaluronic Acid 1.5% 400ml x 2,₫439.000,"30,3k",L'Oreal Paris Official Store,"10,4%",₫43.900,https://shopee.vn/product/37251933/21979888742,https://s.shopee.vn/2AyYJdVKDL
15927432811,Nước Tẩy Trang Loreal 400ml,₫185.000,"125,5k",Cocolux.com,"7,4%",₫12.950,https://shopee.vn/product/518715302/15927432811,https://s.shopee.vn/1g2HiiXEEG
19592275763,"Nước tẩy trang DRCEUTICS Ultra-Mild Olive Cleansing Water làm sạch sâu, không gây khô da 310ml, 500ml",₫161.500,"14,1k",Minoderm Official,"5,4%",₫8.075,https://shopee.vn/product/776074609/19592275763,https://s.shopee.vn/1qLhv1WatJ
2175392666,Nước Tẩy Trang 300ml MayCreate TT300,₫32.000,"64,5k",Aura Cosmetic,"2,4%",₫640,https://shopee.vn/product/18582774/2175392666,https://s.shopee.vn/1LPRK6YUuE
