Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
3203302580,Nước tẩy trang 300ml làm sạch sâu MayCreate nắp trắng NTTM300,₫38.000,37k,Aura Cosmetic,"2,4%",₫760,https://shopee.vn/product/18582774/3203302580,https://s.shopee.vn/60BGsjbnG5
3012940442,"Nước Tẩy Trang Nivea Acne Care Chăm Sóc Da Mụn Dành Cho Da Mụn, Dễ Nổi Mụn 400ml",₫132.000,"2,9k",Watsons Vietnam Official Store,"6,4%",₫7.920,https://shopee.vn/product/193849872/3012940442,https://s.shopee.vn/6V7XTeZtFC
10555641652,Nước tẩy trang La Roche Posay 400ml,₫340.000,"10,8k",ENPI ,"4,4%",₫13.600,https://shopee.vn/product/8252086/10555641652,https://s.shopee.vn/6Ko7HLaWaB
3819708335,Nước tẩy trang sạch sâu dịu nhẹ cho da 300ml chính hãng Hatola,₫9.900,"2,8k",HATOLA,"7,4%",₫693,https://shopee.vn/product/167635200/3819708335,https://s.shopee.vn/5VF0HodhH2
16083196152,Nước Tẩy Trang Bioderma H2O 500ML,₫279.000,"8,1k",hathuong3011,"2,4%",₫5.580,https://shopee.vn/product/140873230/16083196152,https://s.shopee.vn/5Kva5VeKc1
1214022701,Nước Tẩy Trang La Roche-Posay Dành Cho Da Nhạy Cảm 400ml Hasaki,₫348.000,"8,6k",Hasaki Official Store,"2,4%",₫6.960,https://shopee.vn/product/18644537/1214022701,https://s.shopee.vn/5prqgQcQb8
21425249318,Nước Tẩy Trang Làm Sạch Da Dịu Nhẹ Cho Da Dầu Byphasse Chính Hãng 500ml,₫45.000,"2,8k",Mỹ Phẩm LinhChi,"4,4%",₫1.800,https://shopee.vn/product/455600207/21425249318,https://s.shopee.vn/5fYQU7d3w7
14197708655,Nước Tẩy Trang Nội Địa Pháp Bio 500ml l Ngân Phạm Korea,₫289.000,"9,2k",Ngân Phạm Korea,"2,4%",₫5.780,https://shopee.vn/product/96722773/14197708655,https://s.shopee.vn/7V04fUW5DU
6659202697,[HÀNG CHÍNH HÃNG-GIÁ CỰC TỐT] Nước Tẩy Trang Simple Micellar Water 200ml,₫47.000,"8,1k",bestrong333,"2,4%",₫940,https://shopee.vn/product/205083574/6659202697,https://s.shopee.vn/7KgeTBWiYT
7056772441,Nước tẩy trang da dầu mụn Caryophy Smart Cleansing Water chính hãng Hàn Quốc (300ml 500ml),₫242.000,"6,2k",Mabel Cosmetics: Mỹ Phẩm Korea,"5,4%",₫12.100,https://shopee.vn/product/316606631/7056772441,https://s.shopee.vn/7pcv46UoXa
23570215382,Bộ đôi Nước tẩy trang AISASEA  Cho Da Dầu  Centella Da nhạy cảm Làm sạch sâu Micellar 500mlx2 (mới),₫210.000,"3,9k",AISASEA Official Store,"12,4%",₫25.200,https://shopee.vn/product/935977899/23570215382,https://s.shopee.vn/7fJUrnVRsZ
4361822368,Nước tẩy trang Lameila 60ml chính hãng P0207,₫9.000,7k,Lameila Official,"2,4%",₫180,https://shopee.vn/product/175889782/4361822368,https://s.shopee.vn/6pkNsGYcZQ
17922512001,"Nước Tẩy Trang Derladie Cleansing Water Witch Hazel làm sạch, ngừa mụn trên da 500ml",₫154.000,"8,7k",Cosmetics247_Official_Store,"4,4%",₫6.160,https://shopee.vn/product/540766923/17922512001,https://s.shopee.vn/6fQxfxZFuP
20278247296,Nước Tẩy Trang Bio 500ml,₫50.000,999,Bésúp nội địa trung,"2,4%",₫1.000,https://shopee.vn/product/85363371/20278247296,https://s.shopee.vn/7ANEGsXLtW
3709651327,Nước Tẩy Trang Senka Micellar Dưỡng Trắng All Clear Water Micellar Formual Bright 230ml,₫83.000,"14,7k",Watsons Vietnam Official Store,"6,4%",₫4.980,https://shopee.vn/product/193849872/3709651327,https://s.shopee.vn/703o4ZXzEV
18919207567,Nước tẩy trang bản nội địa Pháp Bio 500ml,₫275.000,"8,6k",MUA CẢ THẾ GIỚI,"4,4%",₫11.000,https://shopee.vn/product/76155337/18919207567,https://s.shopee.vn/3VTvu8lJKq
