Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
29660904371,Điện thoại Apple iPhone 16 Pro 128GB,₫28.890.000,"1,6k",Apple Flagship Store,"2,4%",₫577.800,https://shopee.vn/product/88201679/29660904371,https://s.shopee.vn/703o3hTOx6
26860917550,"[Mã ELGDEC100 giảm 15% từ 100K đơn 300K] Quạt mini Goojodoq có màn hình kỹ thuật số LED, cầm tay có thể sạc lại",₫179.000,"14,1k",GOOJODOQ OFFICIAL SHOP,"12,4%",₫21.480,https://shopee.vn/product/1356437574/26860917550,https://s.shopee.vn/7ANEG0Slc9
7173734286,"Sim 4G Vinaphone trọn gói 1 năm VD149, D159V, U1500, BIG50Y, FHAPPY, D89Y, D500 - Shop sim giá rẻ",₫90.000,"6,6k",Shop Sim Giá Rẻ,"4,4%",₫3.600,https://shopee.vn/product/17217586/7173734286,https://s.shopee.vn/6fQxf5Ufd4
24785601252,🔥🔥🔥GZHOUSE BabyThree  Migo Túi Đeo Ngang Dây Treo Dây Điện Thoại Dây Đeo Dài Ngoài Trời Mang Theo Chống Mất Đa Năng Hạt DIY Trái Tim Đa Năng Nơ Quyến Rũ Nhiều Màu Sắc,₫30.456,"3,9k",gzhouse.vn,"9,4%",₫2.741,https://shopee.vn/product/76217935/24785601252,https://s.shopee.vn/6pkNrOU2I7
18093055535,Điện thoại Apple iPhone 15 128GB,₫20.390.000,"8,8k",Apple Flagship Store,"2,4%",₫407.800,https://shopee.vn/product/88201679/18093055535,https://s.shopee.vn/7fJUqvQrbI
22963980589,Bộ sạc nhanh 20W Basefast Củ sạc PD20W dây sạc silicon chống quá tải nhiệt cho 11 12 13 14 promax,₫124.000,"12,4k",Basefast Official Mall,"7,4%",₫8.680,https://shopee.vn/product/844986659/22963980589,https://s.shopee.vn/7pcv3EQEGL
2843535115,Sim 4G Trọn Gói 1 Năm Miễn Phí 5GB/Ngày Tốc Độ Cao - Sim 4G Vietnamobile Miễn Phí 12 Tháng Giá Rẻ,₫6.800,"124,8k",Shop Sim Giá Rẻ,"4,4%",₫272,https://shopee.vn/product/17217586/2843535115,https://s.shopee.vn/7KgeSJS8HG
23469430661,Sạc dự phòng BASEUS 20000mAh PD 22.5w hai cổng tiện dụng cho điện thoại,₫449.000,"16,7k",Baseus Official Mall,"7,4%",₫31.430,https://shopee.vn/product/131195741/23469430661,https://s.shopee.vn/7V04ecRUwJ
23354704062,Apple iPhone 15 Pro Max 256GB Chính hãng VN/A,₫30.090.000,"21,1k",Viettel Store - AAR,"2,4%",₫601.800,https://shopee.vn/product/308461157/23354704062,https://s.shopee.vn/30XfILid4S
23385051133,Giá đỡ điện thoại máy tính bảng xoay Giá đỡ máy tính để bàn bằng kính thiên văn,₫37.000,"34,5k",Topick Global,"12,4%",₫4.440,https://shopee.vn/product/196261835/23385051133,https://s.shopee.vn/3Ar5UehzjV
