Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
29651760290,Son Kem Nhung C'Choi,₫270.000,0,socolakim,"2,4%",₫5.400,https://shopee.vn/product/66859194/29651760290,https://s.shopee.vn/9KRiqTLo0N
29607749971,Son Sáp C’Choi - Lady Leader,₫390.000,0,Jovis Mart,"2,4%",₫7.800,https://shopee.vn/product/1001583493/29607749971,https://s.shopee.vn/9A8IeAMRLM
25330292450,Son Dưỡng Bóng - Peptide sheer color lip glow,₫280.000,0,Sạch Khỏe An Toàn,"4,4%",₫11.200,https://shopee.vn/product/1242113375/25330292450,https://s.shopee.vn/8zosRrN4gL
24580292647,Son Dưỡng Saffron C’Choi Có Màu,₫210.000,0,Sạch Khỏe An Toàn,"4,4%",₫8.400,https://shopee.vn/product/1242113375/24580292647,https://s.shopee.vn/8pVSFYNi1K
24177749256,SON SÁP LADY LEADER,₫390.000,0,socolakim,"2,4%",₫7.800,https://shopee.vn/product/66859194/24177749256,https://s.shopee.vn/8fC23FOLMJ
24326656450,Son môi Hojo 314 Cosmetic Mỹ Phẩm  Women  chống thấm nước trang điểm gợi cảm cho nữ  Nội Địa Trung,₫88.000,0,Khăn Giấy Nội Địa Trung,"12,4%",₫10.560,https://shopee.vn/product/96374624/24326656450,https://s.shopee.vn/8UsbqwOyhI
20680928675,"Son Kem Lì Lâu Trôi - Mỹ Phẩm Xanh C'CHOI - Son Kem Nhung Mền Mịn, Bám Màu Tốt, Không Chì",₫270.000,483,MỸ PHẨM XANH - BC DROPPII,"2,4%",₫5.400,https://shopee.vn/product/880576853/20680928675,https://s.shopee.vn/8KZBedPc2H
130868802,"Màu khoáng làm son sáp (new)_ Nguyên liệu làm son, mỹ phẩm handmade",₫6.000,"22,1k",asuka123,"2,4%",₫120,https://shopee.vn/product/15082354/130868802,https://s.shopee.vn/8AFlSKQFNG
22255001353,Set Son Xinh 3 Cây Mỹ Phẩm Đông Anh Chính Hãng - Son Xinh Nguyễn Huỳnh Như,₫220.000,44,CEO Mỹ Phẩm Đông Anh,"7,4%",₫15.400,https://shopee.vn/product/1069872168/22255001353,https://s.shopee.vn/7zwLG1QsiF
8665571970,[HOT] Son xăm BERRISOM my lip tint pack giữ màu son lên đến 24 giờ_Mỹ phẩm Hàn Quốc chính hãng,₫189.000,"1,2k",CSHOP Cosmetics,"7,4%",₫13.230,https://shopee.vn/product/89972654/8665571970,https://s.shopee.vn/7pcv3iRW3E
23574069886,Son Xinh Mỹ Phẩm Đông Anh Giá Sỉ Chính Hãng - Set Son Xinh Nguyễn Huỳnh Như 3 Màu Hot Trend Đỏ Tươi + Cam Đất + Đỏ Cam,₫228.000,95,MIAMIA.vn,"4,4%",₫9.120,https://shopee.vn/product/705398224/23574069886,https://s.shopee.vn/7fJUrPS9OD
24280291116,Son Dưỡng Saffron C’Choi Không Màu,₫145.000,0,Sạch Khỏe An Toàn,"4,4%",₫5.800,https://shopee.vn/product/1242113375/24280291116,https://s.shopee.vn/7V04f6SmjC
20690465025,6 Màu Nhung Matte Lip Gloss Lâu Dài Không Phai Màu Son kem Chống Thấm Nước Son Tint Mỹ Phẩm Nữ Lip Glaze Lip Cream Trang Điểm,₫22.938,617,VOGVIGO,"12,4%",₫2.753,https://shopee.vn/product/770597197/20690465025,https://s.shopee.vn/7KgeSnTQ4B
