Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
11099779265,Khô Gà Xé Lá Chanh Doxaco 100gr Dạng Hủ Đậm đà hương vị truyền thống trong mỗi miếng,₫40.000,42,Công ty TNHH Doxaco,"12,4%",₫4.800,https://shopee.vn/product/1016629923/11099779265,https://s.shopee.vn/7V04fuuz6b
3417014510,KHÔ GÀ LÁ CHANH NHÀ LÀM dai ngon túi 500g - không trộn bột - ít ngọt,₫85.000,"2,6k",Ăn Vặt Nhà Mint,"4,4%",₫3.400,https://shopee.vn/product/226479459/3417014510,https://s.shopee.vn/7fJUsDuLle
1621114412,100g Khô Gà YOTAFOOD Siêu Ngon Đẳng Cấp- Sạch Sẽ - Đảm Bảo ATVSTP,₫19.000,"53,1k",YOTAFOOD,"7,4%",₫1.330,https://shopee.vn/product/63963995/1621114412,https://s.shopee.vn/7pcv4WtiQh
24053576843,[Combo 3 Hũ Khô Gà 500Gram ] Khô Gà Lá Chanh / Khô Gà Bơ Tỏi Giòn Ngon Đậm Vị | Đồ ăn vặt Yotafood,₫215.000,"1,1k",YOTAFOOD,"7,4%",₫15.050,https://shopee.vn/product/63963995/24053576843,https://s.shopee.vn/7zwLGpt55k
11495431879,KHÔ BÒ/ KHÔ GÀ 100g,₫15.100,979,Xuanluan_Mart,"2,4%",₫302,https://shopee.vn/product/69987000/11495431879,https://s.shopee.vn/8AFlT8sRkn
24688379043,"Thịt Gà Sấy Lá Chanh, Hàng Xuất Khẩu, Chuẩn Vị Truyền Thống, Thích Hợp Biếu Tặng - Nhà Ta Food - Ăn Vặt khô  galachanh",₫96.000,61,Nước Mắm Nguyên Chất Ba Làng,"2,4%",₫1.920,https://shopee.vn/product/1401658368/24688379043,https://s.shopee.vn/8KZBfRroPq
1429257595,Cơm Cháy Lắc Khô Gà,₫49.000,"12,7k",tritin2016,"4,4%",₫1.960,https://shopee.vn/product/85315428/1429257595,https://s.shopee.vn/8UsbrkrB4t
1286712492,[Combo 2 trong 1] 500gr Khô Gà Lá Chanh + 500gr Khô Gà Bơ Tỏi | Đồ ăn vặt Nàng Khô,₫145.000,"5,1k",Nàng Khô,"7,4%",₫10.150,https://shopee.vn/product/69897949/1286712492,https://s.shopee.vn/8fC243qXjw
29318837873,[ MUA 1 ĐƯỢC 3 ] Cơm Rang Không Dầu 1000gr TẶNG Hũ Khô Gà Lá Chanh 100% Thịt Gà Nguyên Chất 100gr,₫189.000,61,Ăn Vặt Hồng Hồng,"2,4%",₫3.780,https://shopee.vn/product/1368451086/29318837873,https://s.shopee.vn/8pVSGMpuOz
21415398968,"Khô Gà Lá Chanh Chính Hãng Fansipan Gói 50g Thơm Ngon Đảm Bảo Vệ Sinh, Ăn Vặt NaNa",₫10.000,"5,5k",Ăn vặt NaNa HN,"4,4%",₫400,https://shopee.vn/product/802359338/21415398968,https://s.shopee.vn/8zosSfpH42
