Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
14713817797,"Bánh Tráng Nướng Cuộn Mắm Ruốc Anh Bảy Mập cuộn CHÀ BÔNG TÉP HÀNH PHI, vị Bò Khô, Vị Khô Gà",₫3.000,"30,2k",dacsanphanrangso1,"11,4%",₫330,https://shopee.vn/product/237204869/14713817797,https://s.shopee.vn/4pzJUwBLiz
8866795500,Cơm Cháy Lắc Khô Gà hộp 500gr [HÌNH THẬT 100%] FREESHIP ĐƠN TỪ 50K,₫38.000,"51,3k",Ăn Vặt Linh Foods,"2,4%",₫760,https://shopee.vn/product/162978076/8866795500,https://s.shopee.vn/50IjhFAiO2
9130684826,Khô gà lá chanh 1KG Đệ Nhất Khô đồ ăn vặt ngon giá rẻ  Đặc Sản Phan Thiết,₫45.000,"16,7k",Đệ Nhất Khô-Đặc Sản Phan Thiết,"9,4%",₫4.050,https://shopee.vn/product/224179876/9130684826,https://s.shopee.vn/5Ac9tYA535
24422452945,"Combo [ 1Kg ] Khô gà lá chanh, Khô heo cháy tỏi, ngon, tiết kiệm, chất lượng, đồ ăn vặt | haovosnack",₫65.000,"7,7k",Haovo Fastfood & Snacks,"2,4%",₫1.300,https://shopee.vn/product/1217746870/24422452945,https://s.shopee.vn/40QCVPEWPs
5319077931,"Bánh tráng túi zip vị khô bò, khô gà, cuộn tôm, chà bông, rong biển",₫5.900,"68,8k",trangfoodygialai,"2,4%",₫118,https://shopee.vn/product/44066254/5319077931,https://s.shopee.vn/4AjchiDt4v
1429236030,1kg khô gà lá chanh,₫145.000,"163,2k",tritin2016,"4,4%",₫5.800,https://shopee.vn/product/85315428/1429236030,https://s.shopee.vn/4L32u1DFjy
1047162531,1Kg Khô Gà Lá Chanh (Giòn ngon - Đậm vị) | Đồ ăn vặt Yotafood,₫145.000,"82,4k",YOTAFOOD,"7,4%",₫10.150,https://shopee.vn/product/63963995/1047162531,https://s.shopee.vn/4VMT6KCcP1
14491886374,"Gà lá chanh chà bông gà Khô gà bơ tỏi xé cay ,khô bò sợi, điều tỏi ớt - Đồ ăn vặt Việt Nam - Ăn vặt NAMKEN",₫5.000,"16,8k",TAPHOA COHAI,"4,4%",₫200,https://shopee.vn/product/848701656/14491886374,https://s.shopee.vn/3LAViBH3lo
25057191053,"Topping tổng hợp bánh tráng siêu ngon TIGER FOOD Tóp mỡ,hành phi,khô gà,khô bò,sốt tắc,sốt me,bơ béo - Đồ ăn vặt Snack",₫11.800,"15,5k",Ăn Vặt Tiger Food,"5,4%",₫590,https://shopee.vn/product/707424749/25057191053,https://s.shopee.vn/3VTvuUGQQr
7691546158,Khô 3 Vị Mix hộp 300gr  : KHÔ GÀ + KHÔ HEO + MỰC SỢI HẤP DỪA đo ăn văt ngon rẻ sài gòn │ Gia Lai market,₫51.900,"38,7k",Đồ Ăn Vặt Gia Lai market,"4,4%",₫2.076,https://shopee.vn/product/376786684/7691546158,https://s.shopee.vn/3fnM6nFn5u
6538999665,"Khô gà, khô bò vị ngon khó cưỡng (túi zip giấy cao cấp)",₫10.500,"12,4k",Shop ăn vặt Mẹ Gold,"4,4%",₫420,https://shopee.vn/product/91680258/6538999665,https://s.shopee.vn/3q6mJ6F9kx
11074558943,KHÔ GÀ LÁ CHANH - 300gr - MonMon Food - đồ ăn vặt Hà Nội,₫54.000,"17,9k",MonMon Food - Đồ Ăn Vặt Hà Nội,"7,4%",₫3.780,https://shopee.vn/product/331824633/11074558943,https://s.shopee.vn/2fuouxJb7k
13520612259,500g khô gà lá chanh,₫69.000,"14,8k",HoangThao- 93,"2,4%",₫1.380,https://shopee.vn/product/35494388/13520612259,https://s.shopee.vn/2qEF7GIxmn
21686375420,combo bánh tráng+hành phi+khô gà+ bơ béo,₫18.600,"9,3k",nali bánh tráng phơi sương,"12,4%",₫2.232,https://shopee.vn/product/810752275/21686375420,https://s.shopee.vn/30XfJZIKRq
