Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
19787268453,"TEM TẾT Dán Hộp Quà, Giỏ Quà, Hộp Bánh Kẹo, Mứt Ngày Tết, Decal Trang Trí Tết Đong Đầy Hình Vuông Tươi Sáng, Sẵn Keo Dán",₫12.100,17,Kaka-Store,"2,4%",₫242,https://shopee.vn/product/58507828/19787268453,https://s.shopee.vn/3fnM6IAqsR
28517546541,"Tem Tết 2025, Tem Dán Tết, Decal DánTrang Trí Hộp Quà, Giỏ Quà, Hộp Bánh, Kẹo, Mứt Ngày Tết Hoa Mai, Sẵn Keo Dán.",₫11.900,0,Xưởng in - Nemo Decor,"2,4%",₫238,https://shopee.vn/product/1264286239/28517546541,https://s.shopee.vn/1VirWJJ6H2
27967554152,"Tem Tết 2025, Tem Dán Tết Du Xuân, Decal Dán Trang Trí Hộp Quà, Giỏ Quà, Hộp Bánh, Kẹo, Mứt Ngày Tết, Sẵn Keo Dán.",₫11.900,0,Xưởng in - Nemo Decor,"2,4%",₫238,https://shopee.vn/product/1264286239/27967554152,https://s.shopee.vn/1LPRK0Jjc1
23812766684,SET 10 TEM DECAL DÁN CHÚC MỪNG NĂM MỚI DÙNG DÁN LÊN GIỎ QUÀ RẤT TIỆN LỢI - tem dán hộp bánh kẹo decal dán giỏ quà tết,₫4.000,12,Ngọc Susi Shop,"6,4%",₫240,https://shopee.vn/product/13527098/23812766684,https://s.shopee.vn/1qLhuvHpb8
22602499376,sét trang trí giỏ quà.trap bánh kẹo oản ngày lễ ngày Tết,₫31.500,20,shop Thanh Loan chuyên sỉ,"2,4%",₫630,https://shopee.vn/product/887977640/22602499376,https://s.shopee.vn/1g2HicISw7
21666634700,Cành lan đồng trang trí giỏ quà- tháp bánh kẹo tết,₫17.100,22,Phukieentrangtrihoa,"2,4%",₫342,https://shopee.vn/product/568292985/21666634700,https://s.shopee.vn/2AyYJXGYvE
20726551860,"Hộp trụ gỗ tròn cắm giỏ quà tết, giỏ bánh kẹo, hoa và quà tặng trang trí nhiều màu sắc",₫24.900,583,Tiệm Hoa Nấmm Decor,"2,4%",₫498,https://shopee.vn/product/151125302/20726551860,https://s.shopee.vn/20f87EHCGD
20658817039,"khay ren đựng quà,hoa quả,bánh kẹo,giỏ quà tết",₫20.000,64,Tuấn Liêm Chuyên Sỉ,"2,4%",₫400,https://shopee.vn/product/112945489/20658817039,https://s.shopee.vn/2VbOi9FIFK
19761157492,Giỏ quà bọc lụa bày bánh kẹo tết...(Giá 1 cái),₫30.000,6,dailyvinhquyen,"2,4%",₫600,https://shopee.vn/product/59368658/19761157492,https://s.shopee.vn/2LHyVqFvaJ
19470696209,"[HỎA TỐC]Hộp đựng quà tết, hộp đựng bánh kẹo, giỏ quà tết cao cấp, mành tăm đựng quà tặng, lẵng quà tặng đẹp",₫46.550,56,Nàng Thơ Decor,"2,4%",₫931,https://shopee.vn/product/320013911/19470696209,https://s.shopee.vn/BDTvrOAyu
27817543118,"Tem Tết 2025, Tem Dán Tết, Decal DánTrang Trí Hộp Quà, Giỏ Quà, Hộp Bánh, Kẹo, Mứt Ngày Tết Hoa Đào, Sẵn Keo Dán.",₫11.900,0,Xưởng in - Nemo Decor,"2,4%",₫238,https://shopee.vn/product/1264286239/27817543118,https://s.shopee.vn/u3jYOoJt
